timestamp,container,cpu%,mem_usage,mem_limit,mem%,net_i,net_o,block_i,block_o,pids
20:55:38,estudo-mariadb,0.01%,315.5MiB,5.729GiB,5.38%,5.27kB,174kB,169MB,32.8kB,15
20:55:38,estudo-postgres,0.02%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:55:41,estudo-mariadb,317.99%,403.6MiB,5.729GiB,6.88%,37.2kB,4.86MB,264MB,35.8kB,32
20:55:41,estudo-postgres,0.02%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:55:45,estudo-mariadb,264.79%,409.5MiB,5.729GiB,6.98%,86.8kB,12.3MB,265MB,45.6kB,32
20:55:45,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:55:48,estudo-mariadb,256.41%,419.1MiB,5.729GiB,7.14%,148kB,21.5MB,265MB,58.9kB,32
20:55:48,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:55:51,estudo-mariadb,362.87%,420.3MiB,5.729GiB,7.16%,240kB,35.2MB,265MB,74.2kB,32
20:55:51,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:55:54,estudo-mariadb,535.57%,421.4MiB,5.729GiB,7.18%,289kB,42.3MB,265MB,82.9kB,32
20:55:54,estudo-postgres,0.02%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:55:57,estudo-mariadb,493.99%,437.7MiB,5.729GiB,7.46%,365kB,52.7MB,265MB,101kB,42
20:55:57,estudo-postgres,0.02%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:00,estudo-mariadb,412.42%,441.7MiB,5.729GiB,7.53%,418kB,60.6MB,265MB,107kB,42
20:56:00,estudo-postgres,0.02%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:02,estudo-mariadb,202.69%,441.8MiB,5.729GiB,7.53%,468kB,67.3MB,265MB,134kB,42
20:56:02,estudo-postgres,0.01%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:05,estudo-mariadb,457.14%,451.6MiB,5.729GiB,7.70%,568kB,81.4MB,265MB,146kB,42
20:56:05,estudo-postgres,0.02%,23.52MiB,5.729GiB,0.40%,1.18kB,126B,0B,414kB,9
20:56:08,estudo-mariadb,491.07%,454.5MiB,5.729GiB,7.75%,645kB,91.9MB,265MB,161kB,42
