timestamp,container,cpu%,mem_usage,mem_limit,mem%,net_i,net_o,block_i,block_o,pids
21:04:50,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:04:50,estudo-postgres,0.00%,32.69MiB,5.729GiB,0.56%,8.93kB,213kB,0B,418kB,14
21:04:53,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:04:53,estudo-postgres,265.64%,138.5MiB,5.729GiB,2.36%,120kB,9.06MB,8.19kB,418kB,26
21:04:56,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:04:56,estudo-postgres,167.25%,180.2MiB,5.729GiB,3.07%,310kB,25.9MB,16.4kB,770kB,21
21:04:59,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:04:59,estudo-postgres,167.28%,175.7MiB,5.729GiB,3.00%,464kB,42.5MB,24.6kB,958kB,19
21:05:02,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:05:02,estudo-postgres,109.40%,183.3MiB,5.729GiB,3.12%,625kB,59.4MB,32.8kB,1.14MB,21
21:05:05,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:05:05,estudo-postgres,182.70%,184.1MiB,5.729GiB,3.14%,767kB,76.7MB,32.8kB,1.22MB,21
21:05:08,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:05:08,estudo-postgres,174.71%,195.5MiB,5.729GiB,3.33%,871kB,87.4MB,32.8kB,1.32MB,27
21:05:11,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:05:11,estudo-postgres,200.13%,212.9MiB,5.729GiB,3.63%,1.14MB,111MB,49.2kB,1.56MB,29
21:05:14,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:05:14,estudo-postgres,94.55%,213.3MiB,5.729GiB,3.64%,1.25MB,122MB,65.5kB,1.67MB,29
21:05:17,estudo-mariadb,0.01%,460.3MiB,5.729GiB,7.85%,3.12MB,433MB,265MB,651kB,30
21:05:17,estudo-postgres,221.37%,229MiB,5.729GiB,3.90%,1.43MB,138MB,65.5kB,1.85MB,36
21:05:20,estudo-mariadb,0.33%,459.7MiB,5.729GiB,7.84%,3.12MB,433MB,265MB,651kB,10
