Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dados,938,0,9200.0,8394.21555946486,50.6885790018714,21361.255004001578,367432.0,7.797349315911253,0.0,9300,14000,14000,14000,15000,15000,15000,15000,21000,21000,21000
GET,/dados-agregado,314,0,12000.0,9457.672914939527,421.2088220010628,15929.704156002117,367.37579617834393,2.6102000908274343,0.0,12000,15000,15000,15000,15000,15000,15000,15000,16000,16000,16000
GET,/dados-contagem,291,0,11000.0,8860.707195652982,163.64606600109255,21383.191340999474,18.0,2.4190070905438965,0.0,11000,14000,14000,15000,15000,15000,15000,15000,21000,21000,21000
GET,/dados-data,606,0,11000.0,8856.14669515172,47.33836499872268,21430.465253000875,370302.0,5.037519920514093,0.0,11000,14000,14000,14000,15000,15000,15000,15000,21000,21000,21000
GET,/dados-disposicao,609,0,9800.0,8605.874624395652,51.159009999537375,21197.835971997847,332164.4170771757,5.062458137942381,0.0,9800,14000,14000,14000,15000,15000,15000,15000,21000,21000,21000
POST,/dados-inserir,283,0,10000.0,8669.84512968887,5.674017000274034,21142.61792600155,15.0,2.352505177401796,0.0,10000,14000,14000,14000,15000,15000,15000,15000,21000,21000,21000
GET,/dados-ordenado,301,0,9800.0,8782.909660989948,211.51912400091533,21140.317731002142,312216.3953488372,2.5021344819715217,0.0,9800,14000,14000,15000,15000,15000,15000,15000,21000,21000,21000
GET,/dados-src,298,0,7200.0,8857.894973674294,725.4465440018976,17080.1990689979,2487.0,2.477196264543234,0.0,7300,15000,15000,15000,15000,16000,16000,16000,17000,17000,17000
GET,/dados-texto,307,0,6300.0,7964.562061488621,21.33105799657642,21009.491374999925,80746.0,2.5520109168280967,0.0,6300,14000,14000,14000,15000,15000,15000,15000,21000,21000,21000
,Aggregated,3947,0,9800.0,8667.78491568656,5.674017000274034,21430.465253000875,225734.60349632634,32.810381396483706,0.0,9800,14000,14000,14000,15000,15000,15000,16000,21000,21000,21000
