Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/dados,1307,0,800.0,5134.251446374151,55.00096499963547,54981.97986300147,368263.6457536343,10.858717998134615,0.0,800,5600,8800,10000,14000,20000,30000,30000,40000,55000,55000
GET,/dados-agregado,414,0,860.0,5407.1996588912525,123.36397300168755,41811.336784998275,408.47584541062804,3.439563313869725,0.0,860,6000,9100,10000,17000,20000,26000,31000,42000,42000,42000
GET,/dados-contagem,431,0,770.0,4937.049094315571,68.37219699809793,49896.3433300014,18.0,3.5808014209609937,0.0,770,2900,7800,10000,17000,20000,30000,31000,50000,50000,50000
GET,/dados-data,876,0,770.0,5347.360912522906,62.079518000246026,49753.14292300027,368109.0,7.277916577173621,0.0,770,5900,8900,10000,17000,21000,30000,30000,50000,50000,50000
GET,/dados-disposicao,913,0,780.0,5118.656837478671,74.1523500000767,47425.47125299825,308891.22234392114,7.5853171631957945,0.0,780,5500,8400,9800,13000,20000,30000,40000,47000,47000,47000
POST,/dados-inserir,422,0,840.0,5686.683713914588,39.049423998221755,55108.463025000674,15.0,3.506028305442087,0.0,850,6400,9100,10000,17000,20000,30000,38000,55000,55000,55000
GET,/dados-ordenado,447,0,840.0,5521.461593666759,129.07256800099276,47228.0293799995,305620.75391498883,3.7137314041057174,0.0,840,6500,9300,10000,16000,20000,30000,31000,47000,47000,47000
GET,/dados-src,458,0,800.0,5024.581510600434,132.1984499991231,62840.38390299975,2487.0,3.805120767517715,0.0,800,4300,7700,9000,13000,20000,30000,40000,63000,63000,63000
GET,/dados-texto,429,0,760.0,5274.110629557051,49.553434997505974,62598.17031900093,80844.40559440559,3.5641851730679033,0.0,760,5800,9200,10000,15000,20000,30000,30000,63000,63000,63000
,Aggregated,5697,0,800.0,5242.454443111484,39.049423998221755,62840.38390299975,220891.47358258732,47.331382123468174,0.0,800,5600,8700,10000,15000,20000,30000,32000,50000,63000,63000
